Name,class1,class2,jobtype,location,salary,summary,title,sal,qual,new,skills3,skillspts3,title1,newclass1,label_x,skills,label_y
Saluda Medical,Science & Technology," Mathematics, Statistics & Information Sciences",Full Time,Sydney,,"Background: Are you interested in joining an Australian start-up that is doing ground-breaking work in treatment for chronicpain? Would you be proud to be part of a team helping tens of thousands of people who are suffering? Saluda Medical is looking for a head of data analytics; someone with a background in biological signals, who ispassionate about finding hidden gems in the mountains of data we collect. The person we are looking for will have an interest in clinical science and, ideally, have a foundation inneurophysiology. The successful candidate will also have a deep understanding of how the latest methods ofdata collection, storage, processing, mining and visualisation can be used to answer research questions that in turn will drive therapy and product innovation to improve patient outcomes. They will have the capability tocreate and drive a team distributed around the globe, take full ownership of projects, and have a keen sense forwhat outcomes will drive the most value. The person we seek wants a job that allows them to have fun and get paid, and make the world a better place.On top of this we want someone who works hard, is creative, can demonstrate and instill discipline, and doesn'twalk away when it gets boring (as it always will at times) but can still produce top work. We don't care how old you are, what nationality, what gender, but we do care about passion, smarts andcompassion. Position Profile: Saluda Medical is a start-up company whose aim is to develop advanced neuromodulation systems for the nextgeneration of implantable neurostimulation devices. The primary role of this position is to lead a team of datascientists and research engineers to answer research or clinical questions based on patient and device-collecteddata, and to create efficiencies in collecting, analysing and leveraging such data across Saluda’s globaloperations.  A traditional position description follows. About the role:• Manage the enormous amount of raw data at Saluda that can provide insights into potential therapeuticimprovements, or product and service innovation• Propose hypotheses, to be answered by data processing techniques, that will enable better strategicdecisions to be made, and manage a team to investigate or answer these hypotheses• Ensure efficiency of global data analysis while confirming results are presented and communicatedappropriately• Liaise with Clinical and Engineering teams to ensure the flow and utility of information generated byproducts and leveraged to drive product changes is optimised• Be responsible for the development and implementation of Saluda Medical’s data analytics practices,in compliance to relevant standards• To plan, lead, organise and control the data analytics team’s activities• To forecast Saluda Medical’s data analytics resources and capability• Identify / define data analytics requirements, prepare plans for meeting these requirements andimplement these plans as approved by the appropriate Saluda processes• Write management and technical reports, establish and report on performance and metrics, and workwith KOLs to develop manuscripts and presentations when appropriate Essential Requirements:• A passion for data, stats, math, puzzles, science• University Degree in Mathematics/Software/Electrical/Biomedical Engineering, Biological Sciences,or related discipline• Experience in, and an aptitude for, team management• Excellent written and verbal communication skills• Good ability to drive projects• Strong problem-solving and leadership skills• Experience with, and commitment to, systems development in a quality controlled environment• Knowledge of biological systems and signals• Experience in statistical analysis techniques• Experience in implementing the latest methods of data collection, storage, processing, mining andvisualisation• Have ability to work in a team and with minimum supervision, and find innovative solutions tocomplex problems Desirable Requirements:• Experience in software architecture development and software design• Experience in medical device design and development• Working knowledge of regulatory requirements About this companyWe are a small start-up medical device company in Sydney, Australia. Our team is made up of world-classengineers, clinicians and seasoned professionals with experience in bringing medical technologies to life. Ourcompany is founded on a strong foundation of science and we are dedicated to developing breakthrough medicaltechnologies to improve the lives of our patients. If this position is of interest, please apply now online. Only shortlisted candidates will be contacted.",Head of Data Analytics,,/Saluda/Medical/Saluda/Medical/Saluda/’s/Saluda/innovation•/Propose/hypotheses•/Ensure/communicatedappropriately•/Liaise/Clinical/Engineering/optimised•/Saluda/Medical/’s/’s/activities•/Saluda/Medical/’s/capability•/Identify/Saluda/processes•/Write/Essential/Requirements:•/science•/University/Degree/Mathematics/Software/Electrical/Biomedical/Engineering/Biological/Sciences/discipline•/Experience/management•/Excellent/skills•/projects•/skills•/Experience/environment•/Knowledge/signals•/Experience/techniques•/Experience/andvisualisation•/Desirable/Requirements:•/design•/Experience/development•/Working/companyWe/Sydney/Australia/Ourcompany,,  HEAD  ANALYTICS     ,0,"['Head', 'of', 'Data', 'Analytics']",Information Technolog,,Jr Scientist,2.0
Bluefin Resources Pty Limited,Science & Technology," Mathematics, Statistics & Information Sciences",Full Time,Melbourne,$80000.00 - $100000.00 p.a.,"
 
An Australian service provider is seeking a Data Analyst to work closely with the credit and collections teams to identify trends and provide insights across the business. 
You will be required to liaise with internal teams gathering requirements in order to perform analytics and provide data driven insights.
If you have a hunger to make an impact on a growing business, where your insights and concepts are valued then look no further.
Key Responsibilities

Perform investigative analytics 
Building daily/weekly/monthly reporting
Investigating, interpreting and understanding unstructured data and translating that into value driven insights
Assist operational stakeholders with ad hoc data analytics requests 
Build operational reports from scratch in order to ultimately automate the process
Building forecasting models
Communicate complex data and methodologies clearly and effectively to internal stakeholders
Working with other areas of the team and data analytics capabilities to develop insights and recommendations

Looking for Key Skills such as

Tertiary qualification in a quantitative discipline such as Mathematics, Statistics, Commerce or Economics etc.
Strong analytical skills in SQL and experience using visualisation tools such as Power BI/Tableau
Prior experience in data mining, analysis and reporting in a commercial environment
2 years’ experience in a Data Analyst role in a high volume or consumer based organisation
Excellent written and verbal communication skills
Ability to work independently to meet tight deadlines

This is an excellent opportunity to work in a fast growing environment, working across a range of data, focused on developing solutions and enabling information to help drive the operational effectiveness of the organization. 
This role will ultimately translate into a credit and collections data analyst, where you will assist the team to identity and provide insights on the effectiveness of current collection strategies. Previous credit risk experience is not necessary
          as the operational managers can up skill in this area therefore this is a great opportunity if you are looking to break into Credit risk and develop your knowledge int his domain.
For a confidential discussion about this role please contact Robyn Mew 03 8330 5015
IMPORTANT: By submitting your email address and any other personal information when you APPLY to a job, you consent to such information being collected, held, used and disclosed in accordance with our COLLECTIONS NOTICE and PRIVACY POLICY.
http://www.bluefinresources.com.au/privacy-policy
",Data Analyst - Credit,,/Data/Analyst/Key/Responsibilities/Perform/Investigating/Key/Skills/Tertiary/Mathematics/Statistics/Commerce/Economics/SQL/Power/BI/Tableau/Data/Analyst/Excellent/Ability/Credit/Robyn/Mew/COLLECTIONS/NOTICE/PRIVACY/POLICY,90000.0,    ANALYST     ,0,"['Data', 'Analyst', 'Credit']",Information Technolog,0.0, Jr Analysts,0.0
Platinum Pacific Partners,Banking & Financial Services, Funds Management,Full Time,Sydney,,"
About our client:
Platinum Pacific Partners has been mandated by an iconic asset owner headquartered in Sydney who have significant assets under management. This is a high growth business with stellar performance and track record.
As a Senior Data Analyst your primary responsibilities will include but won’t be limited to:

Working with a team of analysts and internal clients to understand their data and business requirements
Acquisition of data from custodian, data vendors, Investment Services Team, and other relevant parties
Assistance in management of internal and external relationships to ensure that current and future expectations are met
Ownership and in-depth understanding of investment data sets
Assistance in design and maintenance of a database for the storage of investment data and analytics.
Documentation and testing of processes to ensure correctness and robustness
Implementation of processes and policy around data requirements and change management satisfying internal and external audit
Management of access, storage and presentation of data
Construction of a records management system
Analysis of security level returns/statistics for all asset classes and securities types

To succeed with your application, you will have:

Tertiary qualified – demonstrated academic track record
Deep understanding of investment products and a range of asset classes
Previous experience analysing and interpreting investment data
Advanced SQL, VBA
Additional programming languages Python, R highly desirable
There is huge scope to implement improvements to current processes so any experience around process improvement would be viewed as valuable
Strong problem-solving ability
Well-developed communication skills, proven ability to simplify and contextualise complex issues

To explore further in confidence, please send your resume (in Word format) to paddy.kelly@platinumpacificpartners.com.au
",Senior Data Analyst,,/Platinum/Pacific/Partners/Sydney/Senior/Data/Analyst/Working/Acquisition/Investment/Services/Team/Ownership/Analysis/Tertiary/Advanced/SQL/VBA/Python/R/Word,, SENIOR   ANALYST     ,0,"['Senior', 'Data', 'Analyst']",Financial Services,,Sr. Analyst,1.0
KPMG Australia,Accounting, Forensic Accounting & Investigation,Full Time,Sydney,,"

Got big plans for your career? Ours are even bigger.
Value diversity? It’s what sets us apart.
Want to make a real difference? We already are.

KPMG Forensic assists clients to prevent, detect and respond to fraud, misconduct and other compliance issues, as well as assisting with regulatory compliance and resolving commercial disputes. We help clients protect their business
          by providing assistance where facts and figures do not agree, where behaviour does not comply with expectations or where advice is required regarding regulatory requirements. Our range of services includes fraud and misconduct investigations,
          anti-bribery and corruption risk management, developing and implementing regulatory compliance frameworks, data analytics, forensic technology, dispute advisory services and corporate intelligence.
Due to continued growth and success, our Sydney practice has a number of opportunities available with our digital forensic team, using computer forensic skills to make a difference in fighting cyber threats, fraud and non-compliance. This is also
          an opportunity to expand your skills and gain exposure to a broad variety of clients. We are recruiting for a Senior Consultant, Manager and Associate Director.
Your new role   
Responsibilities will include:

Managing cyber incident response and security investigations activities with KPMG clients.
Managing client engagements that involve forensic IT activities in the identification, capture, preservation, analysis and presentation of computer-related evidence, in the context of cyber services, forensic investigations, (commercial) litigation
            support and regulatory obligations.
Technical leadership in cyber incident response and the development of junior team members.
Play a leading role in bringing procedures, quality management and SOPs to a higher level nationally across our four laboratories.
Employing business development activities to further expand our Forensic practice.
Having a proactive and flexible approach with the ability to work unsupervised to meet deadlines.

Some travel will be involved with this position and you may need to work outside usual business hours at times.
You bring to the role

Substantial practical experience in information security, incident response and computer forensic analysis. A professional services, or information security consulting, background would be a distinct advantage.
Strong interpersonal and relationship building skills.
A combination of a strong IT aptitude and attention to detail are critical attributes for this role as you will be required to provide high level technical and non-technical support and reporting.
Excellent report writing skills.
A willingness to learn from the more experienced professionals in the team and to teach the less experienced professionals in the team.
A solid understanding of IT, information security, IT infrastructure, computers and networks and an interest in all mainstream computer applications. 
An interest in the area of incident response and data breach investigation.
Computer science, IT, Business or computing (tertiary) qualification(s).

What we offer you:We offer rewarding careers for outstanding professionals, ongoing learning and development opportunities, a collaborative and inclusive culture, and flexible and agile work practices that focus on our
          people's wellbeing to drive innovation and entrepreneurship. We also believe that our business plays a distinct and vital role in helping solve important social and environmental issues; and use our unique skills and expertise to help create
          positive and lasting impacts for our communities.
We believe diversity of thought, background and experience strengthens relationships and delivers meaningful benefits to our people, our clients and communities. We are consistently recognised as an employer of choice for women, and our inclusive
          culture promotes the development of our people irrespective of gender, ethnicity, generation, flexible work status, family circumstances, sexual orientation or disability.
Please apply for this position by submitting your confidential application online including your resume and cover letter.
 
 
",Forensic Senior Consultant/Manager (Forensic Technology/Data Analytics),,/’s/KPMG/Forensic/Sydney/Senior/Consultant/Manager/Associate/Director/Responsibilities/KPMG/IT/Computer/IT/Business/qualification(s,, SENIOR        ,0,"['Forensic', 'Senior', 'Consultant/Manager', '(Forensic', 'Technology/Data', 'Analytics)']",Financial Services,,Jr Scientist,
Chandler Macleod Group,Information & Communication Technology, Business/Systems Analysts,Contract/Temp,ACT,,"
As one of the Australia’s largest providers of human resources solutions, Chandler Macleod has a proven track record of unleashing potential in people and companies. For over 40 years Chandler Macleod’s recruitment business has connected leading-edge
            projects and employers with outstanding business professionals.  Chandler Macleod and our Client are Equal Opportunity Employer's and encourage applicants from all backgrounds and gender to apply, including, Aboriginal and Torres Strait
            Islander candidates.  We are currently seeking a suitably qualified Data Analyst, starting as soon as possible for an initial 6-month contract. This is with a possible chance of extension.  The Data Analyst supports the National
            Redress Scheme by using and managing information that will enable the Programme to provide accurate and timely management information reports. They will do this by understanding service delivery and programme management data requirements and
            analyse matching scenarios within the data management tools. The role assists with the management of the National Redress Scheme’s data to improve and maintain program and service delivery improvement.  Responsibilities:  • Perform administrative, technical and customising tasks in the data environment  • Interpreting data and preparing written reports  • Assist with the data management process including loading, creating, maintaining,
            analysing and distributing data  • Assist in the processing of data including matching and maintaining specific object data  • Assist in the management of globally controlled master data elements  • Monitor data quality
            by undertaking periodic audits  • Detect data inconsistencies and utilise defined error-handling procedures  • Resolve data integration issues related to data in their area of expertise  • Assist in ensuring the alignment
            of business data requirements with the enterprise application  • Assist in the the establishment and maintain data business rules and security specifications  • Establish data retention criteria  • Evaluate, define,
            integrate and organise data coming from multiple operational systems  • Provide broad data modelling support for project build, test and implementation activities  • Provide documented data modelling solutions as required,
            encompassing conceptual, logical and physical models and database implementation artefacts  • Assist in development of and execution of data quality programmes  • Collaborate with stakeholders to resolve issues and ensure effective
            and timely implementation of projects  • Prepare correspondence such as reports, corporate and technical documentation for review by executive level employees  • Resolve or escalate issues as required and suggest alternative
            approaches  • Provide comprehensive technical support to senior management.  Essential Qualifications and Experience:  • Baseline Clearance  If this sounds like the role for you, please hit
            ""APPLY NOW"" or contact Sarah.Ramirez@chandlermacleod.com or 02 6268 9933! 
",Data Analyst,,/Australia/’s/Chandler/Macleod/Chandler/Macleod/’s/Chandler/Macleod/Client/Equal/Opportunity/Employer/Aboriginal/Torres/Strait/Islander/Data/Analyst/Data/Analyst/National/Redress/Scheme/Programme/National/Redress/Scheme/’s/Responsibilities/•/Assist/Detect/Evaluate/Assist/Prepare/Essential/Qualifications/Baseline/Clearance,,    ANALYST     ,0,"['Data', 'Analyst']",Information Technolog,, Jr Analysts,2.5
Federation University Australia,Information & Communication Technology, Developers/Programmers,Full Time,Ballarat & Central Highlands,,"
Information Technology Services – Mt Helen Campus
Full-time, fixed-term appointment until May 2020.
Ready for a change? It’s time to for FedUni to update our data infrastructure to a new, supported, streamlined and efficient data infrastructure!
This is your chance to contribute to the University data infrastructure project and the decommissioning of old inadequate infrastructure, increasing the analytical outcomes such as predictive analytics from University data. Analysing and visualising
          organisational and external data you will develop data assets extending the analytical capabilities of the University.
By educating and explaining the purpose and operation of advanced analytical data assets you will enhance data literacy across the university, contributing to designing innovative solutions and approaches to complex problems consistent with business
          requirements using your analytical skills.
Your previous experience in data analysis and management, analysing data asset requirements and developing complex data pipelines to effectively satisfy data requirements will be key elements to your success in this role.
Salary $84,752 to $91,739 p.a. plus 17% superannuation.Appointments will normally be at the base of the salary range.
APPLICATIONS CLOSE: Sunday, 26 May 2019.
Applicants are required to address the Key Selection Criteria, for further information on preparing a job application, please click here:   Preparing-a-Job-Application.pdf
To view the Position Description, please click here:   849187.pdf
If you require these documents, or any other documents on this website in an alternative format please contact hr@federation.edu.au or phone (03) 5327 9756.
All University positions delivering education and/or services to children must hold a valid Working With Children Check (WWCC). Please refer to the position description for WWCC requirements.
Aboriginal and Torres Strait Islander people are strongly encouraged to apply.
","Developer, Data Scientist",88245.5,/Information/Technology/Services/Mt/Helen/Campus/May/’s/FedUni/University/University/University/APPLICATIONS/CLOSE/Sunday/May/Key/Selection/Criteria/Job/Application.pdf/Position/Description/University/Working/Children/Check/WWCC/WWCC/Aboriginal/Torres/Strait/Islander,88245.5,SCIENTIST         ,0,"['Developer,', 'Data', 'Scientist']",Information Technolog,0.0,Sr Scientist,
Federation University Australia,Education & Training, Other,Full Time,Ballarat & Central Highlands,,"
Information Technology Services – Mt Helen Campus
Full-time, fixed-term appointment until May 2020.
Ready for a change? It’s time to for FedUni to update our data infrastructure to a new, supported, streamlined and efficient data infrastructure!
This is your chance to contribute to the University data infrastructure project and the decommissioning of old inadequate infrastructure, increasing the analytical outcomes such as predictive analytics from University data. Analysing and visualising
          organisational and external data you will develop data assets extending the analytical capabilities of the University.
By educating and explaining the purpose and operation of advanced analytical data assets you will enhance data literacy across the university, contributing to designing innovative solutions and approaches to complex problems consistent with business
          requirements using your analytical skills.
Your previous experience in data analysis and management, analysing data asset requirements and developing complex data pipelines to effectively satisfy data requirements will be key elements to your success in this role.
Salary $84,752 to $91,739 p.a. plus 17% superannuation.Appointments will normally be at the base of the salary range.
APPLICATIONS CLOSE: Sunday, 26 May 2019.
Applicants are required to address the Key Selection Criteria, for further information on preparing a job application, please click here:   Preparing-a-Job-Application.pdf
To view the Position Description, please click here:   849187.pdf
If you require these documents, or any other documents on this website in an alternative format please contact hr@federation.edu.au or phone (03) 5327 9756.
All University positions delivering education and/or services to children must hold a valid Working With Children Check (WWCC). Please refer to the position description for WWCC requirements.
Aboriginal and Torres Strait Islander people are strongly encouraged to apply.
","Developer, Data Scientist",88245.5,/Information/Technology/Services/Mt/Helen/Campus/May/’s/FedUni/University/University/University/APPLICATIONS/CLOSE/Sunday/May/Key/Selection/Criteria/Job/Application.pdf/Position/Description/University/Working/Children/Check/WWCC/WWCC/Aboriginal/Torres/Strait/Islander,88245.5,SCIENTIST         ,0,"['Developer,', 'Data', 'Scientist']",Govt & Def & Edu & Train,0.0,Sr Scientist,
The University of Queensland,Education & Training, Other,Full Time,Brisbane,"Base salary $67,542-$90,982 + up to 17% super","

School of Civil Engineering
The School of Civil Engineering is one of the largest schools of its kind in Australia. Located in the state-of-the-art, $135 million Advanced Engineering Building, the School passionately delivers world-leading teaching, research, and service.
          We aspire to be the civil engineering school of choice for students, staff, industry, and the wider community in the fields of water, environmental, geotechnical, structural and transportation engineering.
Our goal is to foster graduates with the technical and professional skills required to lead the civil engineering profession and we aim to re-engineer civil and environmental research to make communities work better. For more information about
          the School, please visit: www.civil.uq.edu.au
The role
The successful appointee will participate in a research project funded by the Australian Research Council developing a low-cost, data-driven traffic simulation framework that builds a traffic simulation model automatically and directly from vehicle
          trajectory data to enable rapid analysis of large-scale traffic networks.
The successful appointee will be responsible for analysing large-scale urban mobility and transport data and developing data-driven models and algorithms to infer mobility patterns and travel behaviours to predict traffic evolution.
The person
Applicants should possess a PhD in the area of transport engineering, computer science, data science, operations research, mathematics, statistics, or a related field.
You should have demonstrated expert knowledge in any of the areas of traffic simulation modelling, machine learning, data mining, or big data analytics. Strong progamming skills (C/C++/C#/Java/Python), excellent statistical and analytic skills,
          and the ability to communicate effectively verbally and in writing is essential.
The University of Queensland values diversity and inclusion and actively encourages applications from those who bring diversity to the University. Please refer to the University’s Diversity and Inclusion webpage (https://staff.uq.edu.au/information-and-services/human-resources/diversity) for further information and points of contact if you require additional support.
This role is a full-time position; however flexible working arrangements may be negotiated. Accessibility requirements and/or adjustments can be directed to the contact person listed in the job advertisement.
Remuneration
This is a full-time, fixed term appointment for three (3) years at Academic Level A. The remuneration package will be in the range $67,542 - $90,982p.a., plus employer superannuation contributions of up to 17% (total package will be in the range
          $79,025 - $106,449 p.a.).
Position Description
 507344_Postdoctoral Research Fellow.pdf
Enquiries
To discuss this role please contact Dr Jiwon Kim on +61 7 3346 3008 or email jiwon.kim@uq.edu.au.
To submit an application for this role, use the Apply button below. All applicants must supply the following documents: Cover letter, CV and Selection Criteria responses. For information on completing the application process click here.
Applications Close: 14 June 2019
",Postdoctoral Research Fellow,120724.5,/School/Civil/Engineering/School/Civil/Engineering/Australia/Advanced/Engineering/Building/School/School/www.civil.uq.edu.au/Australian/Research/Council/Applicants/C++/C#/Java/Python/University/Queensland/University/University/’s/Diversity/Inclusion/Academic/Level/Description/Research/Fellow.pdf/Enquiries/Dr/Jiwon/Kim/jiwon.kim@uq.edu.au/Apply/CV/Selection/Criteria/June,79262.0, RESEARCH        ,0,"['Postdoctoral', 'Research', 'Fellow']",Govt & Def & Edu & Train,0.0,Research,0.5
Progressive,Information & Communication Technology, Business/Systems Analysts,Contract/Temp,Sydney,$700 - $1k p.d. + competitive,"
Data Engineer

Leading organisation in their industry
Flexible day rate
Sydney CBD location
6 months likely to extend

We are seeking a Data Engineer to join a leading player in their industry based in the heart of the city.
This role is for an initial 6 month contract, likely to extend.
The ideal Data Engineer will be join a small-medium team with big plans, who enjoy a flat hierarchy where all ideas are heard. The individual will have flexibility, in terms of freedom of choice with technologies and working in an agile environment.
The Data Engineer will be comfortable preparing big data infrastructure to be analysed by Data Scientists. The ideal Data Engineer will design, build and integrate data from various resources, and manages big data.
The Data Engineer will be experienced with running ETL on top of big Datasets and create big data warehouses that can be used for reporting or analysis by data scientists.
You will be confident and have had a large amount of experience when it comes to cloud platforms and using different data services on the cloud (ideally from GCP).
An amazing role with chance to learn many new things and to work with an Australian company.
 
The requirements of the Data Engineer:
 

5+ Years Data Engineer
Python
Hadoop Stack
Spark
GCP
Machine Learning
Terraform
Stream
Bash
Shell Scripting
GPM
Research based mindset
Understanding of Infrastructure (desirable)

 
An exciting new opportunity for a very technical candidate, wanting to work for a large Australian company, working on some interesting projects. 
The ideal Data Engineer will have a clear route of progression from the start and will be a key decision maker for the company.
From this opportunity, you will be given the chance to upskill your technical skills within different technologies and creating new projects in the company.
 
Please contact Paulina for further information on the position.
To find out more about Progressive Recruitment please visit our website. 
 
Award Winner for:
Best Medium Recruitment Company of the Year by Recruitment International 2018
Training & Development Initiative of the Year by Recruitment International 2018
",Data Engineer,,/Data/Engineer/Sydney/CBD/Data/Engineer/Data/Engineer/Data/Engineer/Data/Scientists/Data/Engineer/Data/Engineer/GCP/Data/Engineer/Years/Data/Engineer/Python/Hadoop/Stack/Spark/GCP/Machine/Learning/Terraform/Stream/Bash/Shell/Scripting/GPM/Research/Understanding/Infrastructure/Data/Engineer/Paulina/Progressive/Recruitment/Award/Winner/Best/Medium/Recruitment/Company/Year/Recruitment/International/Training/Development/Initiative/Year/Recruitment/International,247350.0,    ENGINEER     ,0,"['Data', 'Engineer']",Information Technolog,3.0,Big data Eng,3.0
Murdoch University,Science & Technology," Environmental, Earth & Geosciences",Full Time,Perth,$65k - $88k plus 9.5% employer superannuation,"

Fixed term, full time (2 years)
Associate Lecturer | $65k - $88k plus 9.5% employer superannuation contributions 
Salary Packaging opportunities 
Ref: 1919A01/202255

In 2017, Murdoch University’s, Dr Fiona Evans was awarded The Premier's mid-Career Fellowship in Agriculture and Food and she now leads teams who provide support for her vision to use big data to enhance the productivity and sustainability of
          broadacre agriculture. Murdoch University’s Centre for Comparative Genomics, established at the Murdoch Campus in 2014, is currently being utilised by Dr Evans in collaboration with world class researchers to develop new technologies to shape
          the agricultural industry of the future.
The Role
A Postdoctoral Research Fellow position has become available to support Dr Evans in this research by developing and applying advanced analytics to combine big data with existing trial data, biophysical and agro-economic models to better predict
          the effects of crop inputs on yield and net return. The opportunity is to take existing knowledge and agronomic models accumulated from over a century of agricultural research in WA and integrate them in a spatial-temporal analytic framework
          that allows for flexible models that are calibrated for different locations and seasons, and as more data are obtained.
Skills and Experience
The preferred candidate will have:

A PhD, awarded or submitted, in agriculture, mathematics, statistics, modelling or data science or closely related discipline with strong computational or methodological component.
Demonstrated ability to manipulate, analyse and make inference from data.
Strong computer programming skills in e.g. R, Python, C++ or equivalent.

Applicants should refer to the Position Description for further detail on the duties, skills and experience required for this role.
Think Murdoch
With strong links to government, business and the community, Murdoch University helps people discover how to make a difference. Our staff and students are committed to high quality education, innovative research, and strong community engagement
          both locally and internationally.
Prospective staff can expect to enjoy the lively, natural campus and dynamic work environment, as well as a range of benefits and services unique to employment at Murdoch. There’s never been a better time to join us.
For more information or to apply:
Please visit http://jobs.murdoch.edu.au/ to view the Position Description and apply, or to find out more about joining Murdoch.
","Postdoctoral Fellow, Big Data in Agriculture",9.5,/Associate/Lecturer/|/Salary/Packaging/Ref/Murdoch/University/’s/Dr/Fiona/Evans/Premier/mid/-/Career/Fellowship/Agriculture/Food/Murdoch/University/’s/Centre/Comparative/Genomics/Murdoch/Campus/Dr/Evans/Role/Postdoctoral/Research/Fellow/Dr/Evans/WA/Skills/Experience/Python/C++/Position/Description/Murdoch/Murdoch/University/Murdoch/’s/http://jobs.murdoch.edu.au//Position/Description/Murdoch,76500.0,     BIG    ,0,"['Postdoctoral', 'Fellow,', 'Big', 'Data', 'in', 'Agriculture']",Information Technolog,0.0,Big data Eng,1.0
The Social Research Centre,Marketing & Communications, Market Research & Analysis,Contract/Temp,Melbourne,,"

Excellent opportunity to start or build your career in social research analytics
Work with industry experts in social research, analytics and data science
Convenient location – next to Flagstaff station

Established in 2000, the Social Research Centre is Australia’s leading provider of social research services, and is dedicated to conducting world-class research that informs decision-making and advances our understanding of Australian society. 
            As a wholly owned subsidiary of the Australian National University (ANU), we enjoy unprecedented access to ANU researchers and ANU’s world class research environment.
Due to recent growth, we are looking for a Trainee Analyst to join our Analytics team. This position will work alongside experienced data scientists, analysts and statisticians and play a key role in data collection preparation, sample selection
            and data requests from clients.  The Trainee Analyst role provides technical support, develops and/or implements processes and systems to support best-practice to ensure flawless execution of complex projects.
This position will be offered as a full-time opportunity, based in our Melbourne offices. The contract will be for an initial 12-month fixed term, with the potential for renewal at the end of the contract period.Key responsibilities in this role will include:

Stakeholder engagement – understanding requirements, manage data issues and queries, collaboration and communication
Survey preparation including sample specifications, sample acquisition and quality assurance
Data preparation and transformation
Preparation of data outputs and reports

Key Selection Criteria:

Undergraduate qualifications in Statistics, Computer Science, Economics, Mathematics or a relevant discipline
Programming experience of (i.e. writing queries) using one of R, Python, SQL, SPSS to extract and manipulate large complex data sets. Experience in data manipulation using other programming languages would be well regarded.
Has strong, logical, numerical and problem solving skills and good attention to detail
Excellent computer skills including Microsoft Office (Word, Excel) and ability to pick up other software packages
Excellent communication skills including ability to write for a range of audiences
A strong team player
Ability to work under pressure and to tight timelines
Social or Market Research industry experience and/or a genuine interest in further developing a career in social research analytics

Also considered highly desirable:

Excellent communication skills including ability to write for a range of audiences
Interest in data and data management, analytical techniques, web applications
Strong collaborative nature

To apply for this position:
Please send your resume, cover letter, and responses to the selection criteria to: recruitment@srcentre.com.au. Applicants who do not address the selection criteria will not be considered.
Applications for this position will close at 5pm Friday 24th May 2019.
For more information or to see the Position Description, please contact Lisa Maxwell, Human Resources Generalist, at recruitment@srcentre.com.au.
To be eligible for this position you must have full working rights in Australia.
",Trainee Analyst,,/Flagstaff/Social/Research/Centre/Australia/’s/Australian/National/University/ANU/ANU/ANU/’s/Trainee/Analyst/Analytics/Trainee/Analyst/Melbourne/Stakeholder/Survey/Data/Key/Selection/Criteria/Undergraduate/Statistics/Computer/Science/Economics/Mathematics/Python/SQL/SPSS/Microsoft/Office/Word/Excel/Ability/Social/Market/Research/Friday/May/Position/Description/Lisa/Maxwell/Human/Resources/Generalist/recruitment@srcentre.com.au/Australia,,    ANALYST     ,0,"['Trainee', 'Analyst']",Adv & Arts & Media & Mark & Comm & Sales,, Jr Analysts,
Hydrogen Group Pty Ltd,Information & Communication Technology, Database Development & Administration,Contract/Temp,Melbourne,Competitive Daily Rate,"
Client
Our client is a market leader within the retail industry which is undergoing an exciting data project working with a large experienced team and a wide range of clients. This organisation is going through an exciting technological transformation
          where they can enable market leading analytical capability.
The provision of Data is the key focus for this organisation, they know it is the key to their success and are committed to its development. This client is looking to expand their team with a newly created Data Analyst role as part of the transformation.
          In this role you would be working closely with the Senior Analytics Manager on an initial 6-month contract.
The Role
 The successful candidate will be part of a large National programme and will be responsible for the extraction and analysis of large data sets to provide business advice to key stakeholders using Tableau. Key responsibilities include:

Extracting large and complex data sets from multiple sources looking at buying strategies and initiatives.
Data maintenance, including ETL (Extraction, Transform, Load) processes from various data sources
Creation, management, communication and updating of dashboards using Tableau and Qlik.
Reporting and analysis of advertising schedules for the advertising agency and Head of Advertising and Lead Acquisition.
Prepare data, enhance the quality of data and deliver reporting
Collaborate with key stakeholders and other Analysts to deliver reporting to the wider business

Requirements:

Previous experience in a marketing or retail industry within Analytics
Strong experience working with dashboards and SQL
Previous experience of analysis of large data is a must
Experience with Tableu and Qlik, highly regarded
Strong communication and stakeholder management with excellent written and verbal communication skills
Strong conceptual, problem solving and analytical skills
Track record of automating manual process

What’s on offer?
Opportunity to work for a large organisation and a large technology project which has the potential to go permanent. Competitive daily rate on offer to join and gain experience in a market leader based in the CBD. If you are interested in this
          role, please press apply.
...
",Data Analyst,,/Client/Data/Data/Analyst/Senior/Analytics/Manager/Role/Tableau/Data/ETL/Extraction/Transform/Load/Creation/Tableau/Qlik/Head/Advertising/Lead/Acquisition/Prepare/Analytics/SQL/Tableu/Qlik/Track/’s/CBD,,    ANALYST     ,0,"['Data', 'Analyst']",Information Technolog,, Jr Analysts,3.0
